Day,Total Energy Produced (kWh),Total Duration (hours)
2021-09-18,1363.6529999999998,13.166666666666666
2021-09-19,3196.9935000000005,13.166666666666666
2021-09-20,2936.996333333333,13.0
2021-09-21,1953.7281666666665,13.0
2021-09-22,2854.130833333333,13.0
2021-09-23,3216.1656666666668,12.833333333333334
2021-09-24,2530.3755,12.833333333333334
2021-09-26,3368.7999999999997,12.833333333333334
2021-09-26,3368.7999999999997,12.833333333333334
2021-09-27,3142.3199999999997,12.833333333333334
2021-09-28,2164.3498333333337,12.833333333333334
2021-09-29,1338.0331666666664,12.833333333333334
2021-09-30,3416.881166666667,12.833333333333334
2021-10-01,3728.4834999999994,12.833333333333334
2021-10-02,2925.433333333333,12.666666666666666
2021-10-03,1502.1616666666664,12.666666666666666
2021-10-04,1228.2423333333334,12.666666666666666
2021-10-05,2196.180166666666,12.666666666666666
2021-10-06,3168.9945,12.666666666666666
2021-10-07,3364.4146666666666,12.666666666666666
2021-10-08,3280.105499999999,12.666666666666666
2021-10-09,2859.4431666666665,12.666666666666666
2021-10-10,3123.2875000000004,12.666666666666666
2021-10-11,3337.573666666666,12.666666666666666
2021-10-12,3324.375166666667,12.5
2021-10-13,3155.8416666666667,12.333333333333334
2021-10-14,3043.1783333333333,12.333333333333334
2021-10-15,3090.7548333333334,12.333333333333334
2021-10-16,3368.111666666666,12.333333333333334
2021-10-17,2745.0113333333334,12.333333333333334
2021-10-18,2342.9251666666664,12.333333333333334
2021-10-19,1806.4783333333332,12.333333333333334
2021-10-20,1768.8799999999999,12.333333333333334
2021-10-21,2469.0818333333336,12.166666666666666
2021-10-22,3154.245333333333,12.333333333333334
2021-10-23,3048.909833333333,12.166666666666666
2021-10-24,3180.9268333333334,12.166666666666666
2021-10-25,2879.1961666666666,12.166666666666666
2021-10-26,2531.488666666666,12.166666666666666
2021-10-27,2920.1645,12.166666666666666
2021-10-28,3127.504,12.166666666666666
2021-10-29,3165.552333333333,12.166666666666666
2021-10-30,2967.6754999999994,12.0
2021-10-31,2985.7815,12.0
2021-11-01,2752.2964999999995,12.0
2021-11-02,2787.914333333333,12.0
2021-11-03,3114.7621666666664,12.0
2021-11-04,2936.1345,12.0
2021-11-05,2968.6958333333337,11.833333333333334
2021-11-06,3005.8824999999997,11.833333333333334
2021-11-07,2997.181333333333,11.833333333333334
2021-11-08,3219.339166666666,11.833333333333334
2021-11-09,3160.9778333333325,11.833333333333334
2021-11-10,3070.797166666666,11.833333333333334
2021-11-11,2983.0845000000004,11.833333333333334
2021-11-12,2960.021333333333,11.833333333333334
2021-11-13,2916.834833333333,11.833333333333334
2021-11-14,2660.4935,11.666666666666666
2021-11-15,2510.0035000000007,11.666666666666666
2021-11-16,2591.167,11.666666666666666
2021-11-17,2711.098,11.666666666666666
2021-11-18,2866.1556666666665,11.666666666666666
2021-11-19,2616.7715,11.666666666666666
2021-11-20,2451.3514999999998,11.666666666666666
2021-11-21,2269.8183333333336,11.666666666666666
2021-11-22,1647.4769999999999,11.666666666666666
2021-11-23,1653.3229999999996,11.666666666666666
2021-11-24,1705.8261666666665,11.666666666666666
2021-11-25,1551.0028333333332,11.666666666666666
2021-11-26,2257.436333333332,11.666666666666666
2021-11-27,2429.8313333333326,11.666666666666666
2021-11-28,2648.361333333333,11.5
2021-11-29,2561.806333333333,11.5
2021-11-30,2668.5596666666665,11.5
2021-12-01,2713.870833333334,11.5
2021-12-02,2626.4559999999997,11.5
2021-12-03,2507.1300000000006,11.5
2021-12-04,1732.7651666666666,11.5
2021-12-05,2366.1508333333322,11.5
2021-12-06,1935.2371666666668,11.5
2021-12-07,1802.0669999999998,11.5
2021-12-08,2035.885833333333,11.5
2021-12-09,2461.1056666666673,11.5
2021-12-10,2167.3088333333335,11.5
2021-12-11,2105.5775,11.5
2021-12-12,2190.845166666667,11.333333333333334
2021-12-13,2288.3379999999997,11.333333333333334
2021-12-14,2283.827666666667,11.333333333333334
2021-12-15,2099.6214999999997,11.333333333333334
2021-12-16,2302.5381666666663,11.333333333333334
2021-12-17,2300.841333333333,11.333333333333334
2021-12-18,2370.150833333333,11.333333333333334
2021-12-19,2322.801166666666,11.333333333333334
2021-12-20,2312.4905,11.333333333333334
2021-12-21,2459.5910000000003,11.333333333333334
2021-12-22,1851.9184999999998,11.333333333333334
2021-12-23,2154.4908333333337,11.333333333333334
2021-12-24,2267.196333333333,11.333333333333334
2021-12-25,2093.075,11.333333333333334
2021-12-26,2384.5731666666666,11.333333333333334
2021-12-27,2371.8868333333335,11.333333333333334
2021-12-28,2077.5889999999995,11.5
2021-12-29,819.1638333333333,11.5
2021-12-30,696.0206666666667,11.5
2021-12-31,2371.7563333333333,11.5
2022-01-01,2191.8854999999994,11.333333333333334
2022-01-02,2490.2281666666668,11.333333333333334
2022-01-03,2338.412999999999,11.333333333333334
2022-01-04,2235.0983333333334,11.333333333333334
2022-01-05,2276.112333333333,11.333333333333334
2022-01-06,2295.2026666666666,11.333333333333334
2022-01-07,2280.6071666666667,11.333333333333334
2022-01-08,2287.9493333333335,11.333333333333334
2022-01-09,2114.6780000000003,11.333333333333334
2022-01-10,2032.1886666666664,11.333333333333334
2022-01-11,1399.5796666666665,11.5
2022-01-12,1822.2448333333332,11.5
2022-01-13,2738.8041666666663,11.5
2022-01-14,1190.5486666666666,11.5
2022-01-15,1958.3074999999997,11.5
2022-01-16,2474.0095,11.5
2022-01-17,2750.334833333333,11.5
2022-01-18,1622.7586666666666,11.5
2022-01-19,2750.092,11.5
2022-01-20,2082.1373333333336,11.5
