Month,Capacity_Factor
2021-09,0.048404482175925925
2021-10,0.12193111527777777
2021-11,0.10927000694444444
2021-12,0.09232259814814814
2022-01,0.10396709444444444
2022-02,0.11952079652777776
2022-03,0.13776015625
2022-04,0.12133067824074074
2022-05,0.13246051018518518
2022-06,0.08990742337962962
2022-07,0.12327592407407406
2022-08,0.14107053171296297
2022-09,0.14636504282407406
2022-10,0.13179079861111112
2022-11,0.15296220393518517
2022-12,0.12262479143518518
2023-01,0.11194736203703703
2023-02,0.08944921736111111
2023-03,0.14212480555555557
2023-04,0.15879131828703702
2023-05,0.16914784166666666
2023-06,0.11939982962962961
2023-07,0.15647469004629627
2023-08,0.11878217268518519
